,sid,age,lat,long
254,480,34.0,40.76669671,-73.99061728
255,481,32.0,40.71260486,-73.96264403
256,482,37.0,40.73935542,-73.99931783
257,483,32.0,40.73223272,-73.98889957
258,484,41.0,40.75500254,-73.98014437
259,485,38.0,40.75038009,-73.98338988
260,486,35.0,40.7462009,-73.98855723
261,487,32.0,40.73314259,-73.97573881
262,488,38.0,40.75645824,-73.99372222
263,489,34.0,40.75066386,-74.00176802
264,490,39.0,40.751551,-73.993934
265,491,36.0,40.74096374,-73.98602213
266,492,39.0,40.75019995,-73.99093085
267,493,40.0,40.7568001,-73.98291153
268,494,38.0,40.74734825,-73.99723551
269,495,36.0,40.76269882,-73.99301222
270,496,36.0,40.73726186,-73.99238967
271,497,37.0,40.73704984,-73.99009296
272,498,35.0,40.74854862,-73.98808416
273,499,39.0,40.76915505,-73.98191841
274,500,39.0,40.76228826,-73.98336183
275,501,39.0,40.744219,-73.97121214
276,502,43.0,40.714215,-73.981346
277,503,36.0,40.73827428,-73.98751968
278,504,31.0,40.73221853,-73.98165557
279,505,35.0,40.74901271,-73.98848395
280,507,31.0,40.73912601,-73.97973776
281,508,38.0,40.76341379,-73.99667444
282,509,41.0,40.7454973,-74.00197139
283,510,40.0,40.7606597,-73.98042047
284,511,30.0,40.72938685,-73.97772429
285,512,36.0,40.7500727,-73.99839279
286,513,36.0,40.768254,-73.988639
287,514,38.0,40.76087502,-74.00277668
288,515,37.0,40.76009437,-73.99461843
289,516,40.0,40.75206862,-73.96784384
290,517,40.0,40.751581,-73.97791
291,518,34.0,40.74780373,-73.9734419
292,519,40.0,40.751873,-73.977706
293,520,41.0,40.75992262,-73.97648516
294,521,42.0,40.75044999,-73.99481051
295,522,40.0,40.75714758,-73.97207836
296,523,39.0,40.75466591,-73.99138152
297,524,39.0,40.75527307,-73.98316936
298,525,37.0,40.75594159,-74.0021163
299,526,37.0,40.74765947,-73.98490707
300,528,33.0,40.74290902,-73.97706058
301,529,39.0,40.7575699,-73.99098507
302,530,38.0,40.771522,-73.990541
303,531,34.0,40.71893904,-73.99266288
304,532,32.0,40.710451,-73.960876
305,533,38.0,40.75299641,-73.98721619
306,534,38.0,40.70255065,-74.0127234
307,536,35.0,40.74144387,-73.97536082
308,537,32.0,40.74025878,-73.98409214
309,539,34.0,40.71534825,-73.96024116
310,540,34.0,40.74147286,-73.98320928
311,545,35.0,40.736502,-73.97809472
312,546,35.0,40.74444921,-73.98303529
313,2000,37.0,40.70255088,-73.98940236
314,2001,32.5,40.699773,-73.979927
315,2002,34.0,40.716887,-73.963198
316,2003,31.0,40.73416059,-73.98024289
317,2004,37.0,40.724399,-74.004704
318,2005,31.0,40.70531194,-73.97100056
319,2006,36.0,40.76590936,-73.97634151
320,2008,37.0,40.70569254,-74.01677685
321,2009,38.0,40.71117444,-73.99682619
322,2010,36.0,40.72165481,-74.00234737
323,2012,35.0,40.739445,-73.976806
324,2017,38.0,40.75022392,-73.97121414
325,2021,38.0,40.75929124,-73.98859651
326,2022,39.0,40.75849116,-73.95920622
327,2023,40.0,40.75968085,-73.97031366
328,3002,39.0,40.711512,-74.015756
